date,close
2022-10-07,269.10
2022-10-14,260.74
2022-10-21,275.42
2022-10-28,281.22
2022-11-04,264.68
2022-11-11,287.96
2022-11-18,284.82
2022-11-25,286.92
2022-12-02,292.55
2022-12-09,282.04
2022-12-16,274.25
2022-12-23,267.36
2022-12-30,266.28
2023-01-06,268.80
2023-01-13,280.97
2023-01-20,282.68
2023-01-27,296.26
2023-02-03,306.18
2023-02-10,299.70
2023-02-17,301.16
2023-02-24,291.85
2023-03-03,299.68
2023-03-10,288.55
2023-03-17,305.36
2023-03-24,310.89
2023-03-31,320.93
2023-04-06,318.05
2023-04-14,318.57
2023-04-21,316.61
2023-04-28,322.56
2023-05-05,322.89
2023-05-12,325.03
2023-05-19,336.51
2023-05-26,348.40
2023-06-02,354.65
2023-06-09,354.50
2023-06-16,367.93
2023-06-23,362.54
2023-06-30,369.42
2023-07-07,366.24
2023-07-14,379.07
2023-07-21,375.63
2023-07-28,383.48
2023-08-04,372.04
2023-08-11,366.24
2023-08-18,358.13
2023-08-25,364.02
2023-09-01,377.59
2023-09-08,372.58
2023-09-15,370.81
2023-09-22,357.91
2023-09-29,358.27
2023-10-06,364.70
2023-10-13,365.28
2023-10-20,354.60
2023-10-27,345.31
2023-11-03,367.71
2023-11-10,378.39
2023-11-17,386.04
2023-11-24,389.51
2023-12-01,389.94
2023-12-08,392.17
2023-12-15,405.34
2023-12-22,408.38
2023-12-29,409.52
2024-01-05,396.75
2024-01-12,409.56
2024-01-19,421.18
2024-01-26,423.81
2024-02-02,429.01
2024-02-09,437.05
2024-02-16,430.57
2024-02-23,436.78
2024-03-01,445.61
2024-03-08,439.02
2024-03-15,433.92
2024-03-22,446.38
2024-03-28,444.01
2024-04-05,440.47
2024-04-12,438.27
2024-04-19,414.65
2024-04-26,431.00
2024-05-03,435.48
2024-05-10,442.06
2024-05-17,451.76
2024-05-24,457.95
2024-05-31,450.71
2024-06-07,462.96
2024-06-14,479.19
2024-06-21,480.18
2024-06-28,479.11
2024-07-05,496.16
2024-07-12,494.82
2024-07-19,475.24
2024-07-26,462.97
2024-08-02,448.75
2024-08-09,450.41
2024-08-16,475.03
2024-08-23,480.00
2024-08-30,476.27
2024-09-06,448.69
2024-09-13,475.34
2024-09-20,482.44
2024-09-27,486.75
2024-10-04,487.32
2024-10-11,493.36
2024-10-18,494.47
2024-10-25,495.32
2024-11-01,487.43
2024-11-08,514.14
2024-11-15,496.57
2024-11-22,505.79
2024-11-29,509.74
2024-12-06,526.48
2024-12-13,530.53
2024-12-20,518.66
2024-12-27,522.56
2025-01-03,518.58
2025-01-10,507.19
2025-01-17,521.74
2025-01-24,529.63
2025-01-31,522.29
2025-02-07,522.92
2025-02-14,538.15
2025-02-21,526.08
2025-02-28,508.17
2025-03-07,491.79
2025-03-14,479.66
2025-03-21,480.84
2025-03-28,468.94
2025-04-04,422.67
2025-04-11,454.40
2025-04-17,444.10
2025-04-25,472.56
2025-05-02,488.83
2025-05-09,487.97
2025-05-16,521.51
2025-05-23,509.24
2025-05-30,519.11
2025-06-06,529.92
2025-06-13,526.96
2025-06-20,526.83
2025-06-27,548.09
2025-07-03,556.22
2025-07-11,554.20
2025-07-18,561.26
2025-07-25,566.37
2025-08-01,553.88
2025-08-08,574.55
2025-08-15,577.34
2025-08-22,571.97
2025-08-29,570.40
2025-09-05,576.06
2025-09-12,586.66
2025-09-19,599.35
2025-09-26,595.97
2025-10-03,603.18
2025-10-10,589.50
2025-10-17,603.93
2025-10-24,617.10
2025-10-31,629.07
2025-11-07,609.74
2025-11-14,608.86
2025-11-21,590.07
2025-11-28,619.25
2025-12-05,625.48
2025-12-12,613.62
2025-12-19,617.05
2025-12-26,623.89
2026-01-02,613.12
2026-01-09,626.65
