date,split_adj_close,adj_close,factor
2003-07-11,31.840000,26.863300,0.8436966080
2003-07-18,31.280000,26.390800,0.8436956522
2003-07-25,31.800000,26.829600,0.8436981132
2003-08-01,31.460000,26.542700,0.8436967578
2003-08-08,30.070000,25.370000,0.8436980379
2003-08-15,31.170000,26.298000,0.8436958614
2003-08-22,32.440000,27.369500,0.8436960543
2003-08-29,33.390000,28.171100,0.8436987122
2003-09-05,33.940000,28.635100,0.8436977018
2003-09-12,33.820000,28.533800,0.8436960378
2003-09-19,34.580000,29.175100,0.8436986698
2003-09-26,32.580000,27.487700,0.8436985881
2003-10-03,34.190000,28.846000,0.8436969874
2003-10-10,35.009998,29.537800,0.8436961278
2003-10-17,34.610000,29.200400,0.8436983531
2003-10-24,34.200000,28.854400,0.8436959064
2003-10-31,35.180000,29.681300,0.8436981239
2003-11-07,35.630000,30.060900,0.8436963233
2003-11-14,35.040001,29.563200,0.8436986061
2003-11-21,34.230000,28.879800,0.8436985101
2003-11-28,35.380000,29.850000,0.8436970040
2003-12-05,35.040001,29.563200,0.8436986061
2003-12-12,35.240000,29.731900,0.8436975028
2003-12-19,35.460000,29.917500,0.8436971235
2003-12-26,35.850000,30.258000,0.8440167364
2004-01-02,36.360000,30.688400,0.8440154015
2004-01-09,37.730000,31.844700,0.8440153724
2004-01-16,38.570000,32.553700,0.8440160747
2004-01-23,38.009998,32.081100,0.8440174016
2004-01-30,37.070000,31.287700,0.8440167251
2004-02-06,37.130000,31.338300,0.8440156208
2004-02-13,36.940000,31.178000,0.8440173254
2004-02-20,36.860000,31.110400,0.8440151926
2004-02-27,36.570000,30.865700,0.8440169538
2004-03-05,36.630000,30.916300,0.8440158340
2004-03-12,35.510000,29.971000,0.8440157702
2004-03-19,34.750000,29.329600,0.8440172662
2004-03-26,35.220000,29.726300,0.8440176036
2004-04-02,37.099998,31.313000,0.8440162180
2004-04-08,36.940000,31.178000,0.8440173254
2004-04-16,36.090000,30.460600,0.8440177334
2004-04-23,37.210000,31.405800,0.8440150497
2004-04-30,34.770000,29.346400,0.8440149554
2004-05-07,34.970000,29.515300,0.8440177295
2004-05-14,34.750000,29.329600,0.8440172662
2004-05-21,35.020000,29.557500,0.8440177042
2004-05-28,36.550000,30.848800,0.8440164159
2004-06-04,36.190000,30.545000,0.8440176844
2004-06-10,36.840000,31.093600,0.8440173724
2004-06-18,36.440000,30.756000,0.8440175631
2004-06-25,37.330000,31.507100,0.8440155371
2004-07-02,36.820000,31.076700,0.8440168387
2004-07-09,35.750000,30.173600,0.8440167832
2004-07-16,34.670000,29.262000,0.8440149986
2004-07-23,34.210000,28.873800,0.8440163695
2004-07-30,34.890000,29.447700,0.8440154772
2004-08-06,32.720000,27.616200,0.8440158924
2004-08-13,32.520000,27.447400,0.8440159902
2004-08-20,34.009998,28.705000,0.8440165079
2004-08-27,34.560000,29.169200,0.8440162037
2004-09-03,34.140000,28.814700,0.8440158172
2004-09-10,35.120000,29.641900,0.8440176538
2004-09-17,35.430000,29.903500,0.8440163703
2004-09-24,34.800000,29.371800,0.8440172414
2004-10-01,36.099998,30.469000,0.8440166673
2004-10-08,35.580000,30.030100,0.8440163013
2004-10-15,35.630000,30.072300,0.8440162784
2004-10-22,35.800000,30.215800,0.8440167598
2004-10-29,36.900000,31.144200,0.8440162602
2004-11-05,37.960000,32.038900,0.8440173867
2004-11-12,38.660000,32.629700,0.8440170719
2004-11-19,38.680000,32.646600,0.8440175801
2004-11-26,39.210000,33.093900,0.8440168324
2004-12-03,40.130000,33.870400,0.8440169449
2004-12-10,39.930000,33.701600,0.8440170298
2004-12-17,39.470000,33.637100,0.8522194071
2004-12-23,39.760000,33.878200,0.8520674044
2004-12-31,39.920000,34.012000,0.8520040080
2005-01-07,38.550000,32.848900,0.8521115435
2005-01-14,38.430000,32.746600,0.8521103305
2005-01-21,37.049999,31.570700,0.8521106843
2005-01-28,36.920000,31.459900,0.8521099675
2005-02-04,37.750000,32.167200,0.8521112583
2005-02-11,37.700000,32.124600,0.8521114058
2005-02-18,37.350000,31.826300,0.8521097724
2005-02-25,37.620000,32.056400,0.8521105795
2005-03-04,37.520000,31.971200,0.8521108742
2005-03-11,37.170000,31.673000,0.8521119182
2005-03-18,36.510000,31.110600,0.8521117502
2005-03-24,36.270000,30.906100,0.8521119382
2005-04-01,36.200000,30.846400,0.8521104972
2005-04-08,36.640000,31.221300,0.8521097162
2005-04-15,34.740000,29.602300,0.8521099597
2005-04-22,35.090000,29.900600,0.8521117127
2005-04-29,34.980000,29.806800,0.8521097770
2005-05-06,35.860000,30.554100,0.8520384830
2005-05-13,36.240000,30.880500,0.8521109272
