date,adj_close
2020-01-24,11.7605
2020-01-31,11.1429
2020-02-07,12.7351
2020-02-14,13.6299
2020-02-21,12.8683
2020-02-28,9.1628
2020-03-06,9.1437
2020-03-13,6.7638
2020-03-20,4.2256
2020-03-27,5.2763
2020-04-03,5.0479
2020-04-09,6.5056
2020-04-17,7.9407
2020-04-24,7.7467
2020-05-01,7.5575
2020-05-08,8.8998
2020-05-15,8.6737
2020-05-22,9.4269
2020-05-29,9.8494
2020-06-05,10.6966
2020-06-12,10.0909
2020-06-19,11.1762
2020-06-26,10.6479
2020-07-02,12.2912
2020-07-10,14.0595
2020-07-17,13.3086
2020-07-24,12.6482
2020-07-31,14.2059
2020-08-07,15.1114
2020-08-14,15.1757
2020-08-21,16.8167
2020-08-28,18.767
2020-09-04,16.8547
2020-09-11,14.4831
2020-09-18,13.8608
2020-09-25,14.5724
2020-10-02,14.9615
2020-10-09,16.7905
2020-10-16,17.2665
2020-10-23,16.5763
2020-10-30,13.9762
2020-11-06,18.0161
2020-11-13,17.2712
2020-11-20,17.1677
2020-11-27,18.7075
2020-12-04,19.9427
2020-12-11,19.1942
2020-12-18,20.7448
2020-12-24,20.7829
2020-12-31,21.6337
2021-01-08,22.6428
2021-01-15,21.1065
2021-01-22,23.9232
2021-01-29,21.5314
2021-02-05,25.0608
2021-02-12,26.2056
2021-02-19,24.9466
2021-02-26,21.2339
2021-03-05,19.9344
2021-03-12,21.0673
2021-03-19,20.5818
2021-03-26,21.0982
2021-04-01,22.8237
2021-04-09,25.5297
2021-04-16,26.6102
2021-04-23,25.9557
2021-04-30,25.6225
2021-05-07,24.7038
2021-05-14,22.8403
2021-05-21,22.9546
2021-05-28,24.4158
2021-06-04,24.7467
2021-06-11,25.9938
2021-06-18,26.2722
2021-06-25,27.9667
2021-07-02,30.1587
2021-07-09,30.737
2021-07-16,29.8754
2021-07-23,32.5005
2021-07-30,31.5914
2021-08-06,32.4696
2021-08-13,32.6386
2021-08-20,32.3196
2021-08-27,34.533
2021-09-03,36.0443
2021-09-10,34.6401
2021-09-17,33.8523
2021-09-24,33.7452
2021-10-01,30.1872
2021-10-08,30.3395
2021-10-15,32.2982
2021-10-22,33.6239
2021-10-29,36.9272
2021-11-05,40.5923
2021-11-12,39.3762
2021-11-19,42.1583
2021-11-26,38.279
2021-12-03,35.7182
2021-12-10,39.8569
2021-12-17,35.8896
2021-12-23,39.3833
2021-12-31,39.5856
2022-01-07,34.2879
2022-01-14,34.2093
2022-01-21,26.9743
2022-01-28,26.8315
2022-02-04,27.9406
2022-02-11,25.3607
2022-02-18,24.0089
2022-02-25,24.7086
2022-03-04,22.8903
2022-03-11,20.1534
2022-03-18,25.3083
2022-03-25,27.0981
2022-04-01,27.5741
2022-04-08,24.6753
2022-04-14,22.3715
2022-04-22,19.7583
2022-04-29,17.3879
2022-05-06,16.474
2022-05-13,15.0555
2022-05-20,13.0135
2022-05-27,15.8457
2022-06-03,15.2983
2022-06-10,12.7518
2022-06-17,10.7907
2022-06-24,13.3182
2022-07-01,11.6094
2022-07-08,13.2753
2022-07-15,12.7518
2022-07-22,14.056
2022-07-29,15.879
2022-08-05,16.7977
2022-08-12,18.0781
2022-08-19,16.8262
2022-08-26,14.3939
2022-09-02,12.6994
2022-09-09,14.2035
2022-09-16,11.7093
2022-09-23,10.1433
2022-09-30,9.1961
2022-10-07,9.2818
2022-10-14,8.3631
2022-10-21,9.7911
2022-10-28,10.329
2022-11-04,8.544
2022-11-11,10.7907
2022-11-18,10.3956
2022-11-25,10.5955
2022-12-02,11.1429
2022-12-09,9.9434
2022-12-16,9.0724
2022-12-23,8.4194
2022-12-30,8.2806
2023-01-06,8.4433
2023-01-13,9.6208
2023-01-20,9.7596
2023-01-27,11.1668
2023-02-03,12.2151
2023-02-10,11.4014
2023-02-17,11.5067
2023-02-24,10.4201
2023-03-03,11.229
2023-03-10,9.9941
2023-03-17,11.7603
2023-03-24,12.4337
2023-03-31,13.6087
2023-04-06,13.209
2023-04-14,13.2282
2023-04-21,12.9393
2023-04-28,13.6038
2023-05-05,13.5846
2023-05-12,13.835
2023-05-19,15.2845
2023-05-26,16.8447
2023-06-02,17.7307
2023-06-09,17.6344
2023-06-16,19.6473
2023-06-23,18.818
2023-06-30,19.8085
2023-07-07,19.2625
2023-07-14,21.2675
2023-07-21,20.6249
2023-07-28,21.8473
2023-08-04,19.8761
2023-08-11,18.8857
2023-08-18,17.586
2023-08-25,18.3784
2023-09-01,20.4317
2023-09-08,19.5669
2023-09-15,19.2045
2023-09-22,17.2748
2023-09-29,17.2724
2023-10-06,18.1113
2023-10-13,18.1404
2023-10-20,16.5305
2023-10-27,15.1776
2023-11-03,18.2228
2023-11-10,19.7697
2023-11-17,20.9286
2023-11-24,21.4232
2023-12-01,21.4523
2023-12-08,21.7384
2023-12-15,23.8768
2023-12-22,24.5275
2023-12-29,24.698
2024-01-05,22.3987
2024-01-12,24.5226
2024-01-19,26.5686
2024-01-26,27.007
2024-02-02,27.8839
2024-02-09,29.3599
2024-02-16,27.9667
2024-02-23,29.0433
2024-03-01,30.7531
2024-03-08,29.2576
2024-03-15,28.1372
2024-03-22,30.6159
2024-03-28,30.0929
2024-04-05,29.2619
2024-04-12,28.7046
2024-04-19,24.1877
2024-04-26,27.023
2024-05-03,27.7171
2024-05-10,28.9246
2024-05-17,30.7675
2024-05-24,31.9456
2024-05-31,30.5671
2024-06-07,32.8108
2024-06-14,36.2571
2024-06-21,36.3696
2024-06-28,36.2231
2024-07-05,40.0554
2024-07-12,39.5696
2024-07-19,34.8688
2024-07-26,31.9344
2024-08-02,28.8234
2024-08-09,28.8774
2024-08-16,33.6813
2024-08-23,34.6087
2024-08-30,33.6666
2024-09-06,27.9647
2024-09-13,33.0483
2024-09-20,34.4124
2024-09-27,35.409
2024-10-04,35.4287
2024-10-11,36.5757
2024-10-18,36.7431
2024-10-25,36.7923
2024-11-01,34.9168
2024-11-08,40.7354
2024-11-15,36.561
2024-11-22,38.5202
2024-11-29,39.3275
2024-12-06,43.1919
2024-12-13,44.009
2024-12-20,40.8733
2024-12-27,41.8106
2025-01-03,40.6945
2025-01-10,37.9436
2025-01-17,41.0599
2025-01-24,42.8428
2025-01-31,40.8525
2025-02-07,40.8574
2025-02-14,44.3639
2025-02-21,41.3414
2025-02-28,37.0004
2025-03-07,33.2914
2025-03-14,30.5653
2025-03-21,30.7085
2025-03-28,28.4066
2025-04-04,20.3562
2025-04-11,24.0668
2025-04-17,22.3725
2025-04-25,26.6825
2025-05-02,29.442
2025-05-09,29.2141
2025-05-16,35.3967
2025-05-23,32.8553
2025-05-30,34.6784
2025-06-06,36.764
2025-06-13,36.0804
2025-06-20,35.8921
2025-06-27,40.4481
2025-07-03,42.1322
2025-07-11,41.5907
2025-07-18,43.096
2025-07-25,44.174
2025-08-01,41.1933
2025-08-08,45.7836
2025-08-15,46.33
2025-08-22,44.8993
2025-08-29,44.3926
2025-09-05,45.6147
2025-09-12,48.0688
2025-09-19,51.1588
2025-09-26,50.3479
2025-10-03,52.0634
2025-10-10,48.2693
2025-10-17,51.7104
2025-10-24,54.9774
2025-10-31,58.0405
2025-11-07,52.6005
2025-11-14,52.0833
2025-11-21,47.2201
2025-11-28,54.2414
2025-12-05,55.8426
2025-12-12,52.5308
2025-12-19,53.227
2025-12-26,55.0922
2026-01-02,52.1439
2026-01-09,55.5404
2026-01-16,53.9268
2026-01-23,54.1659
2026-01-30,53.7874
2026-02-06,50.3908
2026-02-13,48.2791
2026-02-20,49.8629
2026-02-27,49.325
2026-03-06,47.3528
2026-03-13,45.7491
2026-03-20,42.9104
2026-03-27,38.6896
2026-04-02,43.229
2026-04-10,49.0554
2026-04-17,58.4535
2026-04-24,62.4142
2026-05-01,65.1478
2026-05-08,76.1022
2026-05-15,75.1644
2026-05-22,77.6586
2026-05-29,84.3629
2026-06-05,72.8798
2026-06-12,77.3393
2026-06-18,82.6769
2026-06-26,71.83
2026-07-02,73.35
2026-07-10,77.03
2026-07-17,67.53
2026-07-24,64.0
2026-07-31,64.62
2026-08-07,74.47
2026-08-14,76.79
2026-08-21,71.17
2026-08-28,71.85
2026-09-04,72.37
2026-09-11,70.98
