date,close,adj_close
2011-01-28,55.73,48.7358
2011-02-04,57.375,50.1744
2011-02-11,58.44,51.1057
2011-02-18,58.73,51.3593
2011-02-25,57.65,50.4149
2011-03-04,57.9675,50.6925
2011-03-11,56.49,49.4005
2011-03-18,54.45,47.6837
2011-03-25,56.84,49.7767
2011-04-01,57.46,50.3197
2011-04-08,56.95,49.873
2011-04-15,56.65,49.6103
2011-04-21,58.34,51.0903
2011-04-29,59.08,51.7384
2011-05-06,58.47,51.2042
2011-05-13,58.41,51.1516
2011-05-20,57.765,50.5868
2011-05-27,57.43,50.2934
2011-06-03,56.35,49.3476
2011-06-10,54.64,47.8501
2011-06-17,53.79,47.2115
2011-06-24,54.38,47.7294
2011-07-01,57.91,50.8276
2011-07-08,59.03,51.8107
2011-07-15,57.85,50.775
2011-07-22,59.6,52.3109
2011-07-29,58.0,50.9066
2011-08-05,53.83,47.2466
2011-08-12,53.57,47.0184
2011-08-19,50.03,43.9114
2011-08-26,53.13,46.6322
2011-09-02,53.28,46.7639
2011-09-09,53.18,46.6761
2011-09-16,56.59,49.7606
2011-09-23,54.15,47.6151
2011-09-30,52.49,46.1554
2011-10-07,54.07,47.5448
2011-10-14,58.18,51.1588
2011-10-21,57.3,50.385
2011-10-28,58.94,51.827
2011-11-04,57.8,50.8246
2011-11-11,57.85,50.8686
2011-11-18,55.4,48.7143
2011-11-25,52.88,46.4984
2011-12-02,56.62,49.787
2011-12-09,57.02,50.1388
2011-12-16,54.86,48.3806
2011-12-23,56.08,49.4565
2011-12-30,55.83,49.236
2012-01-06,57.81,50.9822
2012-01-13,58.18,51.3085
2012-01-20,59.77,52.7107
2012-01-27,60.4,53.2663
2012-02-03,62.05,54.7214
2012-02-10,62.475,55.0962
2012-02-17,63.43,55.9384
2012-02-24,63.96,56.4058
2012-03-02,64.87,57.2083
2012-03-09,65.02,57.3406
2012-03-16,66.52,58.7629
2012-03-23,66.939,59.1331
2012-03-30,67.55,59.6728
2012-04-05,67.72,59.823
2012-04-13,66.19,58.4714
2012-04-20,65.68,58.0209
2012-04-27,67.24,59.399
2012-05-04,64.7,57.1552
2012-05-11,64.18,56.6958
2012-05-18,60.81,53.7188
2012-05-25,62.07,54.8319
2012-06-01,60.409,53.3646
2012-06-08,62.87,55.5386
2012-06-15,62.99,55.771
2012-06-22,63.35,56.0897
2012-06-29,64.16,56.8069
2012-07-06,64.12,56.7715
2012-07-13,63.38,56.1163
2012-07-20,64.235,56.8733
2012-07-27,64.87,57.4355
2012-08-03,65.6,58.0819
2012-08-10,66.86,59.1975
2012-08-17,68.32,60.4902
2012-08-24,68.29,60.4636
2012-08-31,68.16,60.3485
2012-09-07,69.43,61.4729
2012-09-14,70.18,62.137
2012-09-21,70.15,62.2877
2012-09-28,68.57,60.8848
2012-10-05,68.98,61.2488
2012-10-12,66.68,59.2066
2012-10-19,65.68,58.3187
2012-10-26,65.35,58.0257
2012-11-02,65.17,57.8658
2012-11-09,63.43,56.3209
2012-11-16,62.3,55.3175
2012-11-23,64.9,57.6261
2012-11-30,65.8,58.4252
2012-12-07,64.93,57.6527
2012-12-14,64.69,57.4396
2012-12-21,65.2,58.218
2012-12-28,63.78,56.9501
2013-01-04,66.63,59.4949
2013-01-11,67.26,60.0574
2013-01-18,67.07,59.8878
2013-01-25,67.0,59.8253
2013-02-01,67.66,60.4146
2013-02-08,67.99,60.7092
2013-02-15,67.75,60.4949
2013-02-22,67.139,59.9494
2013-03-01,67.38,60.1646
2013-03-08,68.77,61.4057
2013-03-15,68.51,61.3158
2013-03-22,68.59,61.3874
2013-03-28,68.97,61.7275
2013-04-05,67.861,60.735
2013-04-12,69.94,62.5957
2013-04-19,68.09,60.9399
2013-04-26,69.57,62.2645
2013-05-03,72.12,64.5467
2013-05-10,73.05,65.3791
2013-05-17,74.3,66.4978
2013-05-24,73.41,65.7013
2013-05-31,73.25,65.5581
2013-06-07,73.39,65.6834
2013-06-14,72.28,64.6899
2013-06-21,70.43,63.2343
2013-06-28,71.27,63.9885
2013-07-05,72.58,65.1647
2013-07-12,75.3,67.6068
2013-07-19,74.59,66.9693
2013-07-26,75.37,67.6696
2013-08-02,76.97,69.1061
2013-08-09,76.49,68.6752
2013-08-16,75.485,67.7729
2013-08-23,76.67,68.8368
2013-08-30,75.47,67.7594
2013-09-06,76.93,69.0702
2013-09-13,78.06,70.0848
2013-09-20,78.985,71.1287
2013-09-27,79.07,71.2052
2013-10-04,79.4,71.5024
2013-10-11,79.21,71.3313
2013-10-18,82.14,73.9699
2013-10-25,82.9,74.6543
2013-11-01,82.78,74.5462
2013-11-08,82.56,74.3481
2013-11-15,83.96,75.6089
2013-11-22,83.99,75.6359
2013-11-29,85.73,77.2028
2013-12-06,86.0,77.446
2013-12-13,84.85,76.4103
2013-12-20,86.5,78.1415
2013-12-27,87.52,79.063
2014-01-03,86.64,78.268
2014-01-10,87.3,78.8642
2014-01-17,87.88,79.3882
2014-01-24,86.74,78.3583
2014-01-31,86.27,77.9338
2014-02-07,87.3,78.8642
2014-02-14,89.81,81.1317
2014-02-21,89.93,81.2401
2014-02-28,90.34,81.9472
2014-03-07,90.53,82.1195
2014-03-14,88.67,80.4323
2014-03-21,89.0,80.9186
2014-03-28,87.05,79.1456
2014-04-04,86.37,78.5274
2014-04-11,84.11,76.4726
2014-04-17,86.2,78.3728
2014-04-25,86.19,78.3637
2014-05-02,87.49,79.5457
2014-05-09,86.8,78.9183
2014-05-16,87.71,79.7457
2014-05-23,89.88,81.7187
2014-05-30,91.31,83.0188
2014-06-06,92.82,84.3917
2014-06-13,92.32,83.9371
2014-06-20,92.77,84.5727
2014-06-27,93.75,85.4661
2014-07-03,95.7,87.2438
2014-07-11,95.27,86.8518
2014-07-18,96.12,87.6267
2014-07-25,96.74,88.1919
2014-08-01,94.67,86.3049
2014-08-08,94.9,86.5145
2014-08-15,97.4,88.7936
2014-08-22,99.05,90.2978
2014-08-29,99.78,90.9633
2014-09-05,99.89,91.0636
2014-09-12,99.48,90.6898
2014-09-19,99.98,91.3624
2014-09-26,98.78,90.2659
2014-10-03,98.17,89.7085
2014-10-10,94.44,86.3
2014-10-17,93.0,84.9841
2014-10-24,98.62,90.1197
2014-10-31,101.4,92.66
2014-11-07,101.6,92.8428
2014-11-14,103.22,94.3232
2014-11-21,103.87,94.9172
2014-11-28,106.01,96.8727
2014-12-05,105.38,96.297
2014-12-12,102.67,93.8206
2014-12-19,104.32,95.6818
2014-12-26,105.04,96.3422
2015-01-02,102.94,94.4161
2015-01-09,102.62,94.1226
2015-01-16,100.82,92.4717
2015-01-23,104.26,95.6268
2015-01-30,101.1,92.7285
2015-02-06,103.13,94.5904
2015-02-13,106.91,98.0574
2015-02-20,108.41,99.4332
2015-02-27,108.4,99.424
2015-03-06,107.41,98.516
2015-03-13,105.34,96.6174
2015-03-20,108.53,99.7707
2015-03-27,105.52,97.0037
2015-04-02,105.12,96.636
2015-04-10,107.75,99.0537
2015-04-17,106.01,97.4541
2015-04-24,110.54,101.6185
2015-05-01,109.05,100.2488
2015-05-08,108.69,99.9178
2015-05-15,109.58,100.736
2015-05-22,110.47,101.5542
2015-05-29,110.05,101.1681
2015-06-05,109.3,100.4786
2015-06-12,108.75,99.973
2015-06-19,109.89,101.2546
2015-06-26,109.27,100.6834
2015-07-02,107.95,99.4671
2015-07-10,107.65,99.1907
2015-07-17,113.59,104.6639
2015-07-24,111.1,102.3695
2015-07-31,111.95,103.1528
2015-08-07,110.31,101.6416
2015-08-14,110.51,101.8259
2015-08-21,102.4,94.3532
2015-08-28,105.62,97.3202
2015-09-04,102.16,94.1321
2015-09-11,105.57,97.2741
2015-09-18,105.35,97.311
2015-09-25,102.92,95.0664
2015-10-02,104.01,96.0732
2015-10-09,106.53,98.4009
2015-10-16,108.12,99.8696
2015-10-23,112.78,104.174
2015-10-30,113.33,104.682
2015-11-06,114.79,106.0306
2015-11-13,109.84,101.4584
2015-11-20,114.48,105.7443
2015-11-27,114.31,105.5873
2015-12-04,115.14,106.3539
2015-12-11,110.79,102.3359
2015-12-18,109.83,101.7653
2015-12-24,112.59,104.3227
2015-12-31,111.86,103.6463
2016-01-08,104.01,96.3727
2016-01-15,100.84,93.4355
2016-01-22,103.77,96.1503
2016-01-29,104.13,96.4839
2016-02-05,98.12,90.9152
2016-02-12,98.02,90.8225
2016-02-19,101.63,94.1674
2016-02-26,103.43,95.8353
2016-03-04,105.67,97.9108
2016-03-11,106.49,98.6706
2016-03-18,107.37,99.7804
2016-03-24,107.26,99.6782
2016-04-01,110.36,102.5591
2016-04-08,109.0,101.2952
2016-04-15,110.64,102.8193
2016-04-22,108.98,101.2766
2016-04-29,105.72,98.2471
2016-05-06,105.58,98.117
2016-05-13,105.5,98.0426
2016-05-20,106.47,98.944
2016-05-27,110.13,102.3453
2016-06-03,110.06,102.2803
2016-06-10,108.94,101.2395
2016-06-17,106.49,99.229
2016-06-24,104.29,97.179
2016-07-01,108.08,100.7106
2016-07-08,110.3,102.7792
2016-07-15,111.8,104.177
2016-07-22,113.65,105.9008
2016-07-29,115.23,107.3731
2016-08-05,116.78,108.8174
