date,split_adj_close,adj_close,factor
2013-08-02,0.870313,0.826600,0.9497732534
2013-08-09,0.853854,0.811000,0.9498110918
2013-08-16,0.817500,0.776500,0.9498470948
2013-08-23,0.858229,0.815100,0.9497465350
2013-08-30,0.816667,0.775700,0.9498363237
2013-09-06,0.864063,0.820700,0.9498149799
2013-09-13,0.902292,0.857000,0.9498033791
2013-09-20,0.941563,0.894300,0.9498036674
2013-09-27,0.944375,0.897000,0.9498345668
2013-10-04,0.955208,0.907300,0.9498454787
2013-10-11,0.945208,0.897800,0.9498438338
2013-10-18,1.052604,0.999800,0.9498348857
2013-10-25,1.079375,1.025200,0.9498089172
2013-11-01,1.075833,1.021800,0.9497756622
2013-11-08,1.064063,1.010600,0.9497557945
2013-11-15,1.118540,1.062400,0.9498095732
2013-11-22,1.119480,1.063300,0.9498159860
2013-11-29,1.187600,1.128000,0.9498147524
2013-12-06,1.200420,1.140200,0.9498342247
2013-12-13,1.152290,1.094400,0.9497609109
2013-12-20,1.230000,1.168300,0.9498373984
2013-12-27,1.274580,1.210600,0.9498030724
2014-01-03,1.235100,1.173100,0.9498016355
2014-01-10,1.262500,1.199100,0.9497821782
2014-01-17,1.284690,1.220200,0.9498011193
2014-01-24,1.232080,1.170200,0.9497759886
2014-01-31,1.210630,1.149800,0.9497534342
2014-02-07,1.248540,1.185900,0.9498294007
2014-02-14,1.359170,1.290900,0.9497708160
2014-02-21,1.362710,1.294300,0.9497985632
2014-02-28,1.397080,1.326900,0.9497666562
2014-03-07,1.407290,1.336600,0.9497687044
2014-03-14,1.320830,1.254500,0.9497815767
2014-03-21,1.341460,1.274100,0.9497860540
2014-03-28,1.255210,1.192200,0.9498012285
2014-04-04,1.222710,1.161300,0.9497754987
2014-04-11,1.122710,1.066300,0.9497555023
2014-04-17,1.205000,1.144500,0.9497925311
2014-04-25,1.203330,1.142900,0.9497810243
2014-05-02,1.259170,1.196000,0.9498320322
2014-05-09,1.226670,1.165100,0.9498072016
2014-05-16,1.263750,1.200300,0.9497922849
2014-05-23,1.358750,1.290500,0.9497700092
2014-05-30,1.423540,1.352100,0.9498152493
2014-06-06,1.493960,1.419000,0.9498246272
2014-06-13,1.468330,1.394600,0.9497864921
2014-06-20,1.502290,1.426900,0.9498166133
2014-06-27,1.546460,1.469100,0.9499760744
2014-07-03,1.647500,1.565000,0.9499241275
2014-07-11,1.622920,1.541700,0.9499544032
2014-07-18,1.664370,1.581100,0.9499690574
2014-07-25,1.695830,1.611000,0.9499772973
2014-08-01,1.586870,1.507500,0.9499833005
2014-08-08,1.596870,1.517000,0.9499834050
2014-08-15,1.723750,1.637500,0.9499637418
2014-08-22,1.813130,1.722400,0.9499594624
2014-08-29,1.853750,1.761000,0.9499662846
2014-09-05,1.859580,1.766500,0.9499456867
2014-09-12,1.835000,1.743200,0.9499727520
2014-09-19,1.872290,1.778600,0.9499596751
2014-09-26,1.801670,1.711500,0.9499519890
2014-10-03,1.766880,1.678400,0.9499230282
2014-10-10,1.562710,1.484500,0.9499523264
2014-10-17,1.493960,1.419200,0.9499584996
2014-10-24,1.769580,1.681000,0.9499429243
2014-10-31,1.920830,1.824700,0.9499539262
2014-11-07,1.931460,1.834800,0.9499549564
2014-11-14,2.024583,1.923300,0.9499734019
2014-11-21,2.066250,1.962800,0.9499334543
2014-11-28,2.195420,2.085500,0.9499321314
2014-12-05,2.151460,2.043800,0.9499595623
2014-12-12,1.986250,1.886800,0.9499307741
2014-12-19,2.093958,1.989200,0.9499712984
2014-12-26,2.139580,2.032800,0.9500930089
2015-01-02,2.013542,1.913100,0.9501167594
2015-01-09,1.986040,1.887000,0.9501319208
2015-01-16,1.883330,1.789400,0.9501255754
2015-01-23,2.077083,1.973500,0.9501305437
2015-01-30,1.889170,1.794900,0.9500997793
2015-02-06,2.002083,1.902200,0.9501104125
2015-02-13,2.226250,2.115200,0.9501179113
2015-02-20,2.319380,2.203700,0.9501246023
2015-02-27,2.318750,2.203100,0.9501239892
2015-03-06,2.251040,2.138700,0.9500941787
2015-03-13,2.121880,2.016000,0.9501008540
2015-03-20,2.337710,2.221100,0.9501178504
2015-03-27,2.137290,2.030900,0.9502220101
2015-04-02,2.112920,2.007700,0.9502016167
2015-04-10,2.272920,2.159700,0.9501874241
2015-04-17,2.162290,2.054600,0.9501963196
2015-04-24,2.445000,2.323300,0.9502249489
2015-05-01,2.347500,2.230600,0.9502023429
2015-05-08,2.315830,2.200500,0.9501992806
2015-05-15,2.372920,2.254800,0.9502216678
2015-05-22,2.430210,2.309200,0.9502059493
2015-05-29,2.399580,2.280100,0.9502079531
2015-06-05,2.348960,2.232000,0.9502077515
2015-06-12,2.308330,2.193400,0.9502107584
2015-06-19,2.392080,2.273000,0.9502190562
2015-06-26,2.357710,2.240300,0.9502016787
2015-07-02,2.270000,2.157000,0.9502202643
2015-07-10,2.242290,2.130600,0.9501893154
2015-07-17,2.624790,2.494100,0.9502093501
2015-07-24,2.457500,2.335100,0.9501932859
2015-07-31,2.511870,2.386800,0.9502084105
2015-08-07,2.399580,2.280100,0.9502079531
